base	number	argnum	definition	note	definition_ru	note_ru
делать	1	0	agent, doer	NULL	деятель	NULL
делать	1	1	thing done	NULL	сделанная вещь	NULL
делать	1	2	benefactive, done for or about	NULL	NULL	NULL
делать	1	3	instrumental	NULL	NULL	NULL
делать	1	4	comitative, companion wihle doing	NULL	NULL	NULL
делать	2	0	agent, doer	NULL	NULL	NULL
делать	2	1	entity made	NULL	NULL	NULL
делать	2	2	thing made from	NULL	NULL	NULL
делать	3	0	agent, doer	NULL	NULL	NULL
делать	3	1	entity changed	NULL	NULL	NULL
делать	3	2	end state	NULL	NULL	NULL

